编号,标题,年份,封面,导演,编剧,主演,类型,上映日期,国家地区,语言,时长,别名,互联网电影数据库,评分,评分人数,五星,四星,三星,两星,一星,标记,简介
1291543,功夫,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,周星驰,曾瑾昌,周星驰,动作,2004/9/14, 中国大陆 , 粤语 ,100, 功夫3D / Kung Fu Hustle,tt0373074,8.3,383826,37.9,39.9,19.9,2,0.3,周星驰/喜剧/香港/功夫/动作/香港电影/搞笑/经典,1940年代的上海，自小受尽欺辱的街头混混阿星（周星驰）为了能出人头地，可谓窥见机会的缝隙就往里钻，今次他盯上行动日益猖獗的黑道势力“斧头帮”，想借之大名成就大业。\n                                    \n                                　　阿星假冒“斧头帮”成员试图在一个叫“猪笼城寨”的地方对居民敲诈，不想引来真的“斧头帮”与“猪笼城寨”居民的恩怨。“猪笼城寨”原是藏龙卧虎之处，居民中有许多身怀绝技者（元华、梁小龙等），他们隐藏于此本是为远离江湖恩怨，不想麻烦自动上身，躲都躲不及。而在观战正邪两派的斗争中，阿星逐渐领悟功夫的真谛。
1291544,哈利·波特与阿兹卡班的囚徒,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,阿方索·卡隆,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫,剧情,2004/5/31, 英国 , 英语,141, 哈利波特3：阿兹卡班的逃犯(港/台) / 哈利·波特与阿兹卡班的逃犯 / 哈3,tt0304141,8.4,233946,38,44.8,16.1,0.9,0.1,哈利波特/魔幻/英国/HarryPotter/美国/奇幻/2004/科幻,哈利（丹尼尔·雷德克里夫）即将在霍格沃兹渡过第三个年头，此时在阿兹塔班却传出恶棍小天狼星（加里·奥德曼）越狱的消息。据说小天狼星正是背叛哈利父母的好友，他的教父，而这次小天狼星越狱似乎正是为了找他。哈利的心里悄悄的滋生了为父母报仇的想法，期待着小天狼星的出现。\n                                    \n                                　　新来的魔法老师卢平（大卫·休里斯）有着桀骜不驯的个性，与哈利关系很好，教了哈利许多实用的黑魔法防御知识。而此时在他的魔法地图上却出现了一个神秘人物，虫尾巴。偶然的机会下，在尖叫棚屋里集齐了哈利父亲当年的所有好友，卢平、虫尾巴、小天狼星，哈利的魔杖直指向小天狼星，但他发现那罪犯看他的眼神里充满了疼爱……
1291545,大鱼,2003,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,蒂姆·波顿,约翰·奥古斯特,伊万·麦克格雷格,剧情,2003/12/4, 美国, 英语 ,125, 大鱼奇缘(港) / 大智若鱼(台) / 大鱼老爸,tt0319061,8.8,319044,50.7,37.7,10.5,0.8,0.2,亲情/奇幻/美国/TimBurton/童话/魔幻/剧情/美国电影,爱德华（伊万·麦克格雷格 Ewan McGregor 饰）生性热爱自由，成年之后，他选择离开家乡，踏上了环游世界的旅程。一路上，爱德华遇见了各种各样稀奇古怪的角色，经历了无数精彩绝伦的的冒险，而他日后最大的兴趣，就是向他人喋喋不休的重复讲述他的这一段奇幻旅程。\n                                    \n                                　　威尔（比利·克鲁德普 Billy Crudup 饰）是爱德华的儿子，他并不相信父亲所讲述的那些光怪陆离的故事，甚至对此感到无比厌烦。婚后，他同父亲中断了联系，一晃眼就是数年过去。当再次得到爱德华的消息之时，威尔才知道父亲即将不久于人世，他决定去见爱德华最后一面。然而，这一次，威尔终于发现了隐藏在这些故事背后的奥秘和真相。
1291546,霸王别姬,1993,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,陈凯歌,芦苇,张国荣,剧情,1993/1/1, 中国大陆 , 汉语普通话,171, 再见，我的妾 / Farewell My Concubine,tt0106332,9.6,986028,81.2,16.2,2.3,0.2,0.1,经典/人性/文艺/爱情/人生/同志/剧情/文革,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。\n                                    \n                                　　段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。
1291548,死亡诗社,1989,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯,剧情,1989/6/2, 美国, 英语 ,128, 暴雨骄阳(港) / 春风化雨(台) / 壮志骄阳,tt0097165,9,376716,59.8,32,7.4,0.6,0.2,成长/青春/美国/教育/励志/经典/死亡诗社/RobinWilliams,威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板。\n                                    \n                                　　基汀带学生们在校史楼内聆听死亡的声音，反思生的意义 ；让男生们在绿茵场上宣读自己的理想；鼓励学生站在课桌上，用新的视角俯瞰世界。老师自由发散式的哲学思维让学生内心产生强烈的共鸣，他们渐渐学会自己思考与求索，勇敢的追问人生的路途，甚至违反门禁，成立死亡诗社，在山洞里击节而歌！\n                                    \n                                　　基汀教授、基汀老师、基汀队长，他的教育宛若春风化雨，润物无声的留在每个人心里…
1291549,放牛班的春天,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,克里斯托夫·巴拉蒂,乔治·沙普罗,热拉尔·朱尼奥,剧情,2004/3/17, 法国 , 法语,97, 歌声伴我心(港) / 唱诗班男孩 / The Chorus,tt0372824,9.3,657802,67.7,27.9,4.2,0.2,0.1,音乐/法国/成长/教育/经典/温情/剧情/励志,1949年的法国乡村，音乐家克莱门特（杰勒德•尊诺 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗西斯•贝尔兰德 饰）只顾自己的前途，残暴高压。\n                                    \n                                　　性格沉静的克莱门特尝试用自己的方法改善这种状况，他重新创作音乐作品，组织合唱团，决定用音乐的方法来打开学生们封闭的心灵。\n                                    \n                                　　然而，事情并不顺利，克莱门特发现学生皮埃尔•莫安琦（尚•巴堤•莫里耶 饰）拥有非同一般的音乐天赋，但是单亲家庭长大的他，性格异常敏感孤僻，怎样释放皮埃尔的音乐才能，让克莱门特头痛不已；同时，他与皮埃尔母亲的感情也渐渐微妙起来。
1291550,天下无贼,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191934463.jpg,冯小刚,王刚,刘德华,动作,2004/12/9, 中国大陆 , 汉语普通话,113, A World Without Thieves,tt0439884,7.8,296181,20.5,51.9,25.6,1.7,0.3,冯小刚/刘德华/喜剧/刘若英/葛优/中国电影/中国/大陆,王薄（刘德华 饰）和王丽（刘若英 饰）本是一对最佳贼拍档，但因怀了王薄的孩子，王丽决定收手赎罪，两人产生分歧。在火车站遇到刚刚从城市里挣了一笔钱准备回老家用它盖房子娶媳妇的农村娃子傻根（王宝强 饰）后，王丽被他的单纯打动，决定暗中保护不使他的辛苦钱失窃，王薄却寻思找合适机会下手，但 最终因为“夫妻情深”归入了王丽的阵营。 不料傻根的钱早被以黎叔（葛优 饰）为头目的另一著名扒窃团伙盯上，于是一系列围绕傻根书包里的钞票、在王薄、王丽和黎叔团伙之间展开的强强斗争上演。
1291552,指环王3：王者无敌,2003,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,彼得·杰克逊,弗兰·威尔士,维果·莫腾森,剧情,2003/12/17, 美国 , 英语 ,201, 魔戒三部曲：王者再临(台/港) / 指环王III：王者无敌 / 魔戒3：王者归来 / 指环王3：国,tt0167260,9.1,387800,65.2,27.4,6.8,0.5,0.2,魔幻/史诗/经典/美国/战争/奥斯卡/新西兰/2003,魔幻战争逐渐进入高潮阶段。霍比特人弗拉多（伊利亚·伍德 Elijah Wood 饰）携带着魔戒，与伙伴山姆（Sean Astin 饰）以及狡猾阴暗的咕噜等前往末日山，一路上艰难险阻不断，魔君索伦为阻止魔戒被销毁用尽全力阻挠。另一方面，白袍巫师甘道夫（伊安·麦克莱恩 Ian McKellen 饰）率中土勇士们镇守刚铎首都——白城米那斯提里斯。魔兽大军压境，黑暗与光明的决战即将来临……\n                                    \n                                　　本片是“指环王三部曲”的终结篇，根据英国作家J.R.R.托尔金（J.R.R. Tolkien）同名魔幻巨著《指环王》（The Lord of the Rings）改编，并荣获2004年第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳剪辑、最佳艺术指导、最佳服装设计、最佳化妆、最佳视觉效果、最佳音效、最佳配乐和最佳歌曲等11项大奖。
1291553,青木瓜之味,1993,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825832.jpg,陈英雄,陈英雄,陈女燕溪,剧情,1993/6/8, 越南 , 越南语,104, 番木瓜香 / 青木瓜的滋味 / The Scent of Green Papaya / L'odeur de la papaye verte,tt0107617,7.8,36514,22.1,49.2,25.9,2.4,0.5,越南/陈英雄/文艺/越南电影/爱情/青木瓜之味/唯美/法国,十岁时，梅（阮如琼 饰）被邻居送到西贡一大户人家当女佣。因为长得很像女主人死去的女儿，梅深受女主人的疼爱，但女主人并没因此看到生活的亮色，她的音乐家丈夫时不时就会不做交代外出数日，后来更是消失得再无踪迹。女主人的三个儿子因为整日无所事事，常拿梅寻开心，但慢慢地，他们发现家里的生气，全是由温和善良的梅带来。\n                                    \n                                　　十年转眼而过，梅（陈女燕溪 饰）出落得更具“古典美”，女主人因支持不住家里的开销开始变卖家产，并忍痛将梅送到另一户人家当佣人。新东家是位年轻的钢琴家，他是女主人儿子的朋友，梅在年少初见他时，就曾投下过爱慕的目光，而钢琴家也在同梅的接触中，逐渐感受到她的款款温情。
1291554,歌剧魅影,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825990.jpg,乔·舒马赫,加斯顿·勒鲁,杰拉德·巴特勒,剧情,2004/12/10, 英国 , 英语 ,143, 歌声魅影(港) / 安德鲁洛伊韦伯之歌剧魅影(台) / 歌剧院幽灵 / 剧院魅影,tt0293508,8.5,118485,41.4,42.1,15,1.3,0.2,音乐剧/爱情/经典/美国/歌剧/音乐/歌舞/2004,巴黎歌剧院合唱团的新人克莉斯汀（艾米•罗苏姆 Emmy Rossum 饰）最近进步神速，全因剧院内的一间古老房间内每晚都会传出一把优美的男声向她传授歌唱技巧。这个良师益友其实是一个人称“剧院魅影”（杰拉德•巴特勒 Gerard Butler 饰）的人，此人因样貌丑陋，自小便被父母抛弃，戴着面具隐居在剧院的地下室。“剧院魅影”内心其实深爱着克莉斯汀。\n                                    \n                                　　一次偶然的机会，克莉斯汀有幸担当一部歌剧的主角。凭借从“剧院魅影”那里学得的丰富的歌唱技巧，克莉斯汀一炮而红，并被年轻英俊的剧院赞助人拉乌尔（帕特里克•威尔逊 Patrick Wilson 饰）看上了。两个年轻人很快堕入了爱河。“剧院魅影”伤透了心，认为是拉乌尔抢走了克莉斯汀，准备上演一出爱情复仇的大戏……
